year,phase,group,group_rank,team,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,advanced
1958,Group stage,4,1,Brazil,3,2,1,0,5,0,5,5,1
1958,Group stage,4,2,Soviet Union,3,1,1,1,4,4,0,3,1
1958,Group stage,4,3,England,3,0,3,0,4,4,0,3,0
1958,Group stage,4,4,Austria,3,0,1,2,2,7,-5,1,0
1962,Group stage,1,1,Soviet Union,3,2,1,0,8,5,3,5,1
1962,Group stage,1,2,Yugoslavia,3,2,0,1,8,3,5,4,1
1962,Group stage,1,3,Uruguay,3,1,0,2,4,6,-2,2,0
1962,Group stage,1,4,Colombia,3,0,1,2,5,11,-6,1,0
1962,Group stage,2,1,West Germany,3,2,1,0,4,1,3,5,1
1962,Group stage,2,2,Chile,3,2,0,1,5,3,2,4,1
1962,Group stage,2,3,Italy,3,1,1,1,3,2,1,3,0
1962,Group stage,2,4,Switzerland,3,0,0,3,2,8,-6,0,0
1962,Group stage,3,1,Brazil,3,2,1,0,4,1,3,5,1
1962,Group stage,3,2,Czechoslovakia,3,1,1,1,2,3,-1,3,1
1962,Group stage,3,3,Mexico,3,1,0,2,3,4,-1,2,0
1962,Group stage,3,4,Spain,3,1,0,2,2,3,-1,2,0
1962,Group stage,4,1,Hungary,3,2,1,0,8,2,6,5,1
1962,Group stage,4,2,England,3,1,1,1,4,3,1,3,1
1962,Group stage,4,3,Argentina,3,1,1,1,2,3,-1,3,0
1962,Group stage,4,4,Bulgaria,3,0,1,2,1,7,-6,1,0
1966,Group stage,1,1,England,3,2,1,0,4,0,4,5,1
1966,Group stage,1,2,Uruguay,3,1,2,0,2,1,1,4,1
1966,Group stage,1,3,Mexico,3,0,2,1,1,3,-2,2,0
1966,Group stage,1,4,France,3,0,1,2,2,5,-3,1,0
1966,Group stage,2,1,West Germany,3,2,1,0,7,1,6,5,1
1966,Group stage,2,2,Argentina,3,2,1,0,4,1,3,5,1
1966,Group stage,2,3,Spain,3,1,0,2,4,5,-1,2,0
1966,Group stage,2,4,Switzerland,3,0,0,3,1,9,-8,0,0
1966,Group stage,3,1,Portugal,3,3,0,0,9,2,7,6,1
1966,Group stage,3,2,Hungary,3,2,0,1,7,5,2,4,1
1966,Group stage,3,3,Brazil,3,1,0,2,4,6,-2,2,0
1966,Group stage,3,4,Bulgaria,3,0,0,3,1,8,-7,0,0
1966,Group stage,4,1,Soviet Union,3,3,0,0,6,1,5,6,1
1966,Group stage,4,2,Korea DPR,3,1,1,1,2,4,-2,3,1
1966,Group stage,4,3,Italy,3,1,0,2,2,2,0,2,0
1966,Group stage,4,4,Chile,3,0,1,2,2,5,-3,1,0
1970,Group stage,1,1,Soviet Union,3,2,1,0,6,1,5,5,1
1970,Group stage,1,2,Mexico,3,2,1,0,5,0,5,5,1
1970,Group stage,1,3,Belgium,3,1,0,2,4,5,-1,2,0
1970,Group stage,1,4,El Salvador,3,0,0,3,0,9,-9,0,0
1970,Group stage,2,1,Italy,3,1,2,0,1,0,1,4,1
1970,Group stage,2,2,Uruguay,3,1,1,1,2,1,1,3,1
1970,Group stage,2,3,Sweden,3,1,1,1,2,2,0,3,0
1970,Group stage,2,4,Israel,3,0,2,1,1,3,-2,2,0
1970,Group stage,3,1,Brazil,3,3,0,0,8,3,5,6,1
1970,Group stage,3,2,England,3,2,0,1,2,1,1,4,1
1970,Group stage,3,3,Romania,3,1,0,2,4,5,-1,2,0
1970,Group stage,3,4,Czechoslovakia,3,0,0,3,2,7,-5,0,0
1970,Group stage,4,1,West Germany,3,3,0,0,10,4,6,6,1
1970,Group stage,4,2,Peru,3,2,0,1,7,5,2,4,1
1970,Group stage,4,3,Bulgaria,3,0,1,2,5,9,-4,1,0
1970,Group stage,4,4,Morocco,3,0,1,2,2,6,-4,1,0
1974,First group stage,1,1,Germany DR,3,2,1,0,4,1,3,5,1
1974,First group stage,1,2,West Germany,3,2,0,1,4,1,3,4,1
1974,First group stage,1,3,Chile,3,0,2,1,1,2,-1,2,0
1974,First group stage,1,4,Australia,3,0,1,2,0,5,-5,1,0
1974,First group stage,2,1,Yugoslavia,3,1,2,0,10,1,9,4,1
1974,First group stage,2,2,Brazil,3,1,2,0,3,0,3,4,1
1974,First group stage,2,3,Scotland,3,1,2,0,3,1,2,4,0
1974,First group stage,2,4,Zaire,3,0,0,3,0,14,-14,0,0
1974,First group stage,3,1,Netherlands,3,2,1,0,6,1,5,5,1
1974,First group stage,3,2,Sweden,3,1,2,0,3,0,3,4,1
1974,First group stage,3,3,Bulgaria,3,0,2,1,2,5,-3,2,0
1974,First group stage,3,4,Uruguay,3,0,1,2,1,6,-5,1,0
1974,First group stage,4,1,Poland,3,3,0,0,12,3,9,6,1
1974,First group stage,4,2,Argentina,3,1,1,1,7,5,2,3,1
1974,First group stage,4,3,Italy,3,1,1,1,5,4,1,3,0
1974,First group stage,4,4,Haiti,3,0,0,3,2,14,-12,0,0
1974,Second group stage,A,1,Netherlands,3,3,0,0,8,0,8,6,1
1974,Second group stage,A,2,Brazil,3,2,0,1,3,3,0,4,1
1974,Second group stage,A,3,Germany DR,3,0,1,2,1,4,-3,1,0
1974,Second group stage,A,4,Argentina,3,0,1,2,2,7,-5,1,0
1974,Second group stage,B,1,West Germany,3,3,0,0,7,2,5,6,1
1974,Second group stage,B,2,Poland,3,2,0,1,3,2,1,4,1
1974,Second group stage,B,3,Sweden,3,1,0,2,4,6,-2,2,0
1974,Second group stage,B,4,Yugoslavia,3,0,0,3,2,6,-4,0,0
1978,First group stage,1,1,Italy,3,3,0,0,6,2,4,6,1
1978,First group stage,1,2,Argentina,3,2,0,1,4,3,1,4,1
1978,First group stage,1,3,France,3,1,0,2,5,5,0,2,0
1978,First group stage,1,4,Hungary,3,0,0,3,3,8,-5,0,0
1978,First group stage,2,1,Poland,3,2,1,0,4,1,3,5,1
1978,First group stage,2,2,West Germany,3,1,2,0,6,0,6,4,1
1978,First group stage,2,3,Tunisia,3,1,1,1,3,2,1,3,0
1978,First group stage,2,4,Mexico,3,0,0,3,2,12,-10,0,0
1978,First group stage,3,1,Austria,3,2,0,1,3,2,1,4,1
1978,First group stage,3,2,Brazil,3,1,2,0,2,1,1,4,1
1978,First group stage,3,3,Spain,3,1,1,1,2,2,0,3,0
1978,First group stage,3,4,Sweden,3,0,1,2,1,3,-2,1,0
1978,First group stage,4,1,Peru,3,2,1,0,7,2,5,5,1
1978,First group stage,4,2,Netherlands,3,1,1,1,5,3,2,3,1
1978,First group stage,4,3,Scotland,3,1,1,1,5,6,-1,3,0
1978,First group stage,4,4,IR Iran,3,0,1,2,2,8,-6,1,0
1978,Second group stage,A,1,Netherlands,3,2,1,0,9,4,5,5,1
1978,Second group stage,A,2,Italy,3,1,1,1,2,2,0,3,1
1978,Second group stage,A,3,West Germany,3,0,2,1,4,5,-1,2,0
1978,Second group stage,A,4,Austria,3,1,0,2,4,8,-4,2,0
1978,Second group stage,B,1,Argentina,3,2,1,0,8,0,8,5,1
1978,Second group stage,B,2,Brazil,3,2,1,0,6,1,5,5,1
1978,Second group stage,B,3,Poland,3,1,0,2,2,5,-3,2,0
1978,Second group stage,B,4,Peru,3,0,0,3,0,10,-10,0,0
1982,First group stage,1,1,Poland,3,1,2,0,5,1,4,4,1
1982,First group stage,1,2,Italy,3,0,3,0,2,2,0,3,1
1982,First group stage,1,3,Cameroon,3,0,3,0,1,1,0,3,0
1982,First group stage,1,4,Peru,3,0,2,1,2,6,-4,2,0
1982,First group stage,2,1,West Germany,3,2,0,1,6,3,3,4,1
1982,First group stage,2,2,Austria,3,2,0,1,3,1,2,4,1
1982,First group stage,2,3,Algeria,3,2,0,1,5,5,0,4,0
1982,First group stage,2,4,Chile,3,0,0,3,3,8,-5,0,0
1982,First group stage,3,1,Belgium,3,2,1,0,3,1,2,5,1
1982,First group stage,3,2,Argentina,3,2,0,1,6,2,4,4,1
1982,First group stage,3,3,Hungary,3,1,1,1,12,6,6,3,0
1982,First group stage,3,4,El Salvador,3,0,0,3,1,13,-12,0,0
1982,First group stage,4,1,England,3,3,0,0,6,1,5,6,1
1982,First group stage,4,2,France,3,1,1,1,6,5,1,3,1
1982,First group stage,4,3,Czechoslovakia,3,0,2,1,2,4,-2,2,0
1982,First group stage,4,4,Kuwait,3,0,1,2,2,6,-4,1,0
1982,First group stage,5,1,Northern Ireland,3,1,2,0,2,1,1,4,1
1982,First group stage,5,2,Spain,3,1,1,1,3,3,0,3,1
1982,First group stage,5,3,Yugoslavia,3,1,1,1,2,2,0,3,0
1982,First group stage,5,4,Honduras,3,0,2,1,2,3,-1,2,0
1982,First group stage,6,1,Brazil,3,3,0,0,10,2,8,6,1
1982,First group stage,6,2,Soviet Union,3,1,1,1,6,4,2,3,1
1982,First group stage,6,3,Scotland,3,1,1,1,8,8,0,3,0
1982,First group stage,6,4,New Zealand,3,0,0,3,2,12,-10,0,0
1982,Second group stage,A,1,Poland,2,1,1,0,3,0,3,3,1
1982,Second group stage,A,2,Soviet Union,2,1,1,0,1,0,1,3,0
1982,Second group stage,A,3,Belgium,2,0,0,2,0,4,-4,0,0
1982,Second group stage,B,1,West Germany,2,1,1,0,2,1,1,3,1
1982,Second group stage,B,2,England,2,0,2,0,0,0,0,2,0
1982,Second group stage,B,3,Spain,2,0,1,1,1,2,-1,1,0
1982,Second group stage,C,1,Italy,2,2,0,0,5,3,2,4,1
1982,Second group stage,C,2,Brazil,2,1,0,1,5,4,1,2,0
1982,Second group stage,C,3,Argentina,2,0,0,2,2,5,-3,0,0
1982,Second group stage,D,1,France,2,2,0,0,5,1,4,4,1
1982,Second group stage,D,2,Austria,2,0,1,1,2,3,-1,1,0
1982,Second group stage,D,3,Northern Ireland,2,0,1,1,3,6,-3,1,0
1986,Group stage,A,1,Argentina,3,2,1,0,6,2,4,5,1
1986,Group stage,A,2,Italy,3,1,2,0,5,4,1,4,1
1986,Group stage,A,3,Bulgaria,3,0,2,1,2,4,-2,2,1
1986,Group stage,A,4,Korea Republic,3,0,1,2,4,7,-3,1,0
1986,Group stage,B,1,Mexico,3,2,1,0,4,2,2,5,1
1986,Group stage,B,2,Paraguay,3,1,2,0,4,3,1,4,1
1986,Group stage,B,3,Belgium,3,1,1,1,5,5,0,3,1
1986,Group stage,B,4,Iraq,3,0,0,3,1,4,-3,0,0
1986,Group stage,C,1,Soviet Union,3,2,1,0,9,1,8,5,1
1986,Group stage,C,2,France,3,2,1,0,5,1,4,5,1
1986,Group stage,C,3,Hungary,3,1,0,2,2,9,-7,2,0
1986,Group stage,C,4,Canada,3,0,0,3,0,5,-5,0,0
1986,Group stage,D,1,Brazil,3,3,0,0,5,0,5,6,1
1986,Group stage,D,2,Spain,3,2,0,1,5,2,3,4,1
1986,Group stage,D,3,Northern Ireland,3,0,1,2,2,6,-4,1,0
1986,Group stage,D,4,Algeria,3,0,1,2,1,5,-4,1,0
1986,Group stage,E,1,Denmark,3,3,0,0,9,1,8,6,1
1986,Group stage,E,2,West Germany,3,1,1,1,3,4,-1,3,1
1986,Group stage,E,3,Uruguay,3,0,2,1,2,7,-5,2,1
1986,Group stage,E,4,Scotland,3,0,1,2,1,3,-2,1,0
1986,Group stage,F,1,Morocco,3,1,2,0,3,1,2,4,1
1986,Group stage,F,2,England,3,1,1,1,3,1,2,3,1
1986,Group stage,F,3,Poland,3,1,1,1,1,3,-2,3,1
1986,Group stage,F,4,Portugal,3,1,0,2,2,4,-2,2,0
1990,Group stage,A,1,Italy,3,3,0,0,4,0,4,6,1
1990,Group stage,A,2,Czechoslovakia,3,2,0,1,6,3,3,4,1
1990,Group stage,A,3,Austria,3,1,0,2,2,3,-1,2,0
1990,Group stage,A,4,United States,3,0,0,3,2,8,-6,0,0
1990,Group stage,B,1,Cameroon,3,2,0,1,3,5,-2,4,1
1990,Group stage,B,2,Romania,3,1,1,1,4,3,1,3,1
1990,Group stage,B,3,Argentina,3,1,1,1,3,2,1,3,1
1990,Group stage,B,4,Soviet Union,3,1,0,2,4,4,0,2,0
1990,Group stage,C,1,Brazil,3,3,0,0,4,1,3,6,1
1990,Group stage,C,2,Costa Rica,3,2,0,1,3,2,1,4,1
1990,Group stage,C,3,Scotland,3,1,0,2,2,3,-1,2,0
1990,Group stage,C,4,Sweden,3,0,0,3,3,6,-3,0,0
1990,Group stage,D,1,West Germany,3,2,1,0,10,3,7,5,1
1990,Group stage,D,2,Yugoslavia,3,2,0,1,6,5,1,4,1
1990,Group stage,D,3,Colombia,3,1,1,1,3,2,1,3,1
1990,Group stage,D,4,United Arab Emirates,3,0,0,3,2,11,-9,0,0
1990,Group stage,E,1,Spain,3,2,1,0,5,2,3,5,1
1990,Group stage,E,2,Belgium,3,2,0,1,6,3,3,4,1
1990,Group stage,E,3,Uruguay,3,1,1,1,2,3,-1,3,1
1990,Group stage,E,4,Korea Republic,3,0,0,3,1,6,-5,0,0
1990,Group stage,F,1,England,3,1,2,0,2,1,1,4,1
1990,Group stage,F,2,Republic of Ireland,3,0,3,0,2,2,0,3,1
1990,Group stage,F,3,Netherlands,3,0,3,0,2,2,0,3,1
1990,Group stage,F,4,Egypt,3,0,2,1,1,2,-1,2,0
1994,Group stage,A,1,Romania,3,2,0,1,5,5,0,6,1
1994,Group stage,A,2,Switzerland,3,1,1,1,5,4,1,4,1
1994,Group stage,A,3,United States,3,1,1,1,3,3,0,4,1
1994,Group stage,A,4,Colombia,3,1,0,2,4,5,-1,3,0
1994,Group stage,B,1,Brazil,3,2,1,0,6,1,5,7,1
1994,Group stage,B,2,Sweden,3,1,2,0,6,4,2,5,1
1994,Group stage,B,3,Russia,3,1,0,2,7,6,1,3,0
1994,Group stage,B,4,Cameroon,3,0,1,2,3,11,-8,1,0
1994,Group stage,C,1,Germany,3,2,1,0,5,3,2,7,1
1994,Group stage,C,2,Spain,3,1,2,0,6,4,2,5,1
1994,Group stage,C,3,Korea Republic,3,0,2,1,4,5,-1,2,0
1994,Group stage,C,4,Bolivia,3,0,1,2,1,4,-3,1,0
1994,Group stage,D,1,Nigeria,3,2,0,1,6,2,4,6,1
1994,Group stage,D,2,Bulgaria,3,2,0,1,6,3,3,6,1
1994,Group stage,D,3,Argentina,3,2,0,1,6,3,3,6,1
1994,Group stage,D,4,Greece,3,0,0,3,0,10,-10,0,0
1994,Group stage,E,1,Mexico,3,1,1,1,3,3,0,4,1
1994,Group stage,E,2,Republic of Ireland,3,1,1,1,2,2,0,4,1
1994,Group stage,E,3,Italy,3,1,1,1,2,2,0,4,1
1994,Group stage,E,4,Norway,3,1,1,1,1,1,0,4,0
1994,Group stage,F,1,Netherlands,3,2,0,1,4,3,1,6,1
1994,Group stage,F,2,Saudi Arabia,3,2,0,1,4,3,1,6,1
1994,Group stage,F,3,Belgium,3,2,0,1,2,1,1,6,1
1994,Group stage,F,4,Morocco,3,0,0,3,2,5,-3,0,0
1998,Group stage,A,1,Brazil,3,2,0,1,6,3,3,6,1
1998,Group stage,A,2,Norway,3,1,2,0,5,4,1,5,1
1998,Group stage,A,3,Morocco,3,1,1,1,5,5,0,4,0
1998,Group stage,A,4,Scotland,3,0,1,2,2,6,-4,1,0
1998,Group stage,B,1,Italy,3,2,1,0,7,3,4,7,1
1998,Group stage,B,2,Chile,3,0,3,0,4,4,0,3,1
1998,Group stage,B,3,Austria,3,0,2,1,3,4,-1,2,0
1998,Group stage,B,4,Cameroon,3,0,2,1,2,5,-3,2,0
1998,Group stage,C,1,France,3,3,0,0,9,1,8,9,1
1998,Group stage,C,2,Denmark,3,1,1,1,3,3,0,4,1
1998,Group stage,C,3,South Africa,3,0,2,1,3,6,-3,2,0
1998,Group stage,C,4,Saudi Arabia,3,0,1,2,2,7,-5,1,0
1998,Group stage,D,1,Nigeria,3,2,0,1,5,5,0,6,1
1998,Group stage,D,2,Paraguay,3,1,2,0,3,1,2,5,1
1998,Group stage,D,3,Spain,3,1,1,1,8,4,4,4,0
1998,Group stage,D,4,Bulgaria,3,0,1,2,1,7,-6,1,0
1998,Group stage,E,1,Netherlands,3,1,2,0,7,2,5,5,1
1998,Group stage,E,2,Mexico,3,1,2,0,7,5,2,5,1
1998,Group stage,E,3,Belgium,3,0,3,0,3,3,0,3,0
1998,Group stage,E,4,Korea Republic,3,0,1,2,2,9,-7,1,0
1998,Group stage,F,1,Germany,3,2,1,0,6,2,4,7,1
1998,Group stage,F,2,FR Yugoslavia,3,2,1,0,4,2,2,7,1
1998,Group stage,F,3,IR Iran,3,1,0,2,2,4,-2,3,0
1998,Group stage,F,4,United States,3,0,0,3,1,5,-4,0,0
1998,Group stage,G,1,Romania,3,2,1,0,4,2,2,7,1
1998,Group stage,G,2,England,3,2,0,1,5,2,3,6,1
1998,Group stage,G,3,Colombia,3,1,0,2,1,3,-2,3,0
1998,Group stage,G,4,Tunisia,3,0,1,2,1,4,-3,1,0
1998,Group stage,H,1,Argentina,3,3,0,0,7,0,7,9,1
1998,Group stage,H,2,Croatia,3,2,0,1,4,2,2,6,1
1998,Group stage,H,3,Jamaica,3,1,0,2,3,9,-6,3,0
1998,Group stage,H,4,Japan,3,0,0,3,1,4,-3,0,0
2002,Group stage,A,1,Denmark,3,2,1,0,5,2,3,7,1
2002,Group stage,A,2,Senegal,3,1,2,0,5,4,1,5,1
2002,Group stage,A,3,Uruguay,3,0,2,1,4,5,-1,2,0
2002,Group stage,A,4,France,3,0,1,2,0,3,-3,1,0
2002,Group stage,B,1,Spain,3,3,0,0,9,4,5,9,1
2002,Group stage,B,2,Paraguay,3,1,1,1,6,6,0,4,1
2002,Group stage,B,3,South Africa,3,1,1,1,5,5,0,4,0
2002,Group stage,B,4,Slovenia,3,0,0,3,2,7,-5,0,0
2002,Group stage,C,1,Brazil,3,3,0,0,11,3,8,9,1
2002,Group stage,C,2,Türkiye,3,1,1,1,5,3,2,4,1
2002,Group stage,C,3,Costa Rica,3,1,1,1,5,6,-1,4,0
2002,Group stage,C,4,China PR,3,0,0,3,0,9,-9,0,0
2002,Group stage,D,1,Korea Republic,3,2,1,0,4,1,3,7,1
2002,Group stage,D,2,United States,3,1,1,1,5,6,-1,4,1
2002,Group stage,D,3,Portugal,3,1,0,2,6,4,2,3,0
2002,Group stage,D,4,Poland,3,1,0,2,3,7,-4,3,0
2002,Group stage,E,1,Germany,3,2,1,0,11,1,10,7,1
2002,Group stage,E,2,Republic of Ireland,3,1,2,0,5,2,3,5,1
2002,Group stage,E,3,Cameroon,3,1,1,1,2,3,-1,4,0
2002,Group stage,E,4,Saudi Arabia,3,0,0,3,0,12,-12,0,0
2002,Group stage,F,1,Sweden,3,1,2,0,4,3,1,5,1
2002,Group stage,F,2,England,3,1,2,0,2,1,1,5,1
2002,Group stage,F,3,Argentina,3,1,1,1,2,2,0,4,0
2002,Group stage,F,4,Nigeria,3,0,1,2,1,3,-2,1,0
2002,Group stage,G,1,Mexico,3,2,1,0,4,2,2,7,1
2002,Group stage,G,2,Italy,3,1,1,1,4,3,1,4,1
2002,Group stage,G,3,Croatia,3,1,0,2,2,3,-1,3,0
2002,Group stage,G,4,Ecuador,3,1,0,2,2,4,-2,3,0
2002,Group stage,H,1,Japan,3,2,1,0,5,2,3,7,1
2002,Group stage,H,2,Belgium,3,1,2,0,6,5,1,5,1
2002,Group stage,H,3,Russia,3,1,0,2,4,4,0,3,0
2002,Group stage,H,4,Tunisia,3,0,1,2,1,5,-4,1,0
2006,Group stage,A,1,Germany,3,3,0,0,8,2,6,9,1
2006,Group stage,A,2,Ecuador,3,2,0,1,5,3,2,6,1
2006,Group stage,A,3,Poland,3,1,0,2,2,4,-2,3,0
2006,Group stage,A,4,Costa Rica,3,0,0,3,3,9,-6,0,0
2006,Group stage,B,1,England,3,2,1,0,5,2,3,7,1
2006,Group stage,B,2,Sweden,3,1,2,0,3,2,1,5,1
2006,Group stage,B,3,Paraguay,3,1,0,2,2,2,0,3,0
2006,Group stage,B,4,Trinidad and Tobago,3,0,1,2,0,4,-4,1,0
2006,Group stage,C,1,Argentina,3,2,1,0,8,1,7,7,1
2006,Group stage,C,2,Netherlands,3,2,1,0,3,1,2,7,1
2006,Group stage,C,3,Côte d'Ivoire,3,1,0,2,5,6,-1,3,0
2006,Group stage,C,4,Serbia and Montenegro,3,0,0,3,2,10,-8,0,0
2006,Group stage,D,1,Portugal,3,3,0,0,5,1,4,9,1
2006,Group stage,D,2,Mexico,3,1,1,1,4,3,1,4,1
2006,Group stage,D,3,Angola,3,0,2,1,1,2,-1,2,0
2006,Group stage,D,4,IR Iran,3,0,1,2,2,6,-4,1,0
2006,Group stage,E,1,Italy,3,2,1,0,5,1,4,7,1
2006,Group stage,E,2,Ghana,3,2,0,1,4,3,1,6,1
2006,Group stage,E,3,Czech Republic,3,1,0,2,3,4,-1,3,0
2006,Group stage,E,4,United States,3,0,1,2,2,6,-4,1,0
2006,Group stage,F,1,Brazil,3,3,0,0,7,1,6,9,1
2006,Group stage,F,2,Australia,3,1,1,1,5,5,0,4,1
2006,Group stage,F,3,Croatia,3,0,2,1,2,3,-1,2,0
2006,Group stage,F,4,Japan,3,0,1,2,2,7,-5,1,0
2006,Group stage,G,1,Switzerland,3,2,1,0,4,0,4,7,1
2006,Group stage,G,2,France,3,1,2,0,3,1,2,5,1
2006,Group stage,G,3,Korea Republic,3,1,1,1,3,4,-1,4,0
2006,Group stage,G,4,Togo,3,0,0,3,1,6,-5,0,0
2006,Group stage,H,1,Spain,3,3,0,0,8,1,7,9,1
2006,Group stage,H,2,Ukraine,3,2,0,1,5,4,1,6,1
2006,Group stage,H,3,Tunisia,3,0,1,2,3,6,-3,1,0
2006,Group stage,H,4,Saudi Arabia,3,0,1,2,2,7,-5,1,0
2010,Group stage,A,1,Uruguay,3,2,1,0,4,0,4,7,1
2010,Group stage,A,2,Mexico,3,1,1,1,3,2,1,4,1
2010,Group stage,A,3,South Africa,3,1,1,1,3,5,-2,4,0
2010,Group stage,A,4,France,3,0,1,2,1,4,-3,1,0
2010,Group stage,B,1,Argentina,3,3,0,0,7,1,6,9,1
2010,Group stage,B,2,Korea Republic,3,1,1,1,5,6,-1,4,1
2010,Group stage,B,3,Greece,3,1,0,2,2,5,-3,3,0
2010,Group stage,B,4,Nigeria,3,0,1,2,3,5,-2,1,0
2010,Group stage,C,1,United States,3,1,2,0,4,3,1,5,1
2010,Group stage,C,2,England,3,1,2,0,2,1,1,5,1
2010,Group stage,C,3,Slovenia,3,1,1,1,3,3,0,4,0
2010,Group stage,C,4,Algeria,3,0,1,2,0,2,-2,1,0
2010,Group stage,D,1,Germany,3,2,0,1,5,1,4,6,1
2010,Group stage,D,2,Ghana,3,1,1,1,2,2,0,4,1
2010,Group stage,D,3,Australia,3,1,1,1,3,6,-3,4,0
2010,Group stage,D,4,Serbia,3,1,0,2,2,3,-1,3,0
2010,Group stage,E,1,Netherlands,3,3,0,0,5,1,4,9,1
2010,Group stage,E,2,Japan,3,2,0,1,4,2,2,6,1
2010,Group stage,E,3,Denmark,3,1,0,2,3,6,-3,3,0
2010,Group stage,E,4,Cameroon,3,0,0,3,2,5,-3,0,0
2010,Group stage,F,1,Paraguay,3,1,2,0,3,1,2,5,1
2010,Group stage,F,2,Slovakia,3,1,1,1,4,5,-1,4,1
2010,Group stage,F,3,New Zealand,3,0,3,0,2,2,0,3,0
2010,Group stage,F,4,Italy,3,0,2,1,4,5,-1,2,0
2010,Group stage,G,1,Brazil,3,2,1,0,5,2,3,7,1
2010,Group stage,G,2,Portugal,3,1,2,0,7,0,7,5,1
2010,Group stage,G,3,Côte d'Ivoire,3,1,1,1,4,3,1,4,0
2010,Group stage,G,4,Korea DPR,3,0,0,3,1,12,-11,0,0
