year,host_country,round,stage_type,date,home_team,away_team,home_score,away_score,total_goals,goal_diff,result,winner,home_xg,away_xg,home_penalty_shootout,away_penalty_shootout,venue,attendance,referee,home_manager,away_manager,home_captain,away_captain,notes
1982,Spain,First group stage,Group Stage,1982-06-17,Chile,Austria,0.0,1.0,1.0,-1.0,Away Win,Austria,,,,,"Carlos Tartiere, Oviedo",22500,Juan Cardellino De San Vicente,Luis Alberto Santibanez,Georg Schmidt,Elías Figueroa,Erich Obermayer,
1982,Spain,First group stage,Group Stage,1982-06-17,Czechoslovakia,Kuwait,1.0,1.0,2.0,0.0,Draw,Draw,,,,,"Jose Zorrilla, Valladolid",25000,Benjamin Dwomoh,Jozef Venglos,Carlos Alberto Parreira,Zdeněk Nehoda,Saad Al-Houti,
1982,Spain,First group stage,Group Stage,1982-06-17,Yugoslavia,Northern Ireland,0.0,0.0,0.0,0.0,Draw,Draw,,,,,"La Romareda, Zaragoza",25000,Erik Fredriksson,Miljan Miljanic,Billy Bingham,Ivica Šurjak,Martin O'Neill,
1982,Spain,First group stage,Group Stage,1982-06-16,England,France,3.0,1.0,4.0,2.0,Home Win,England,,,,,"San Mames, Bilbao",44172,Antonio Garrido,Ron Greenwood,Michel Hidalgo,Mick Mills,Michel Platini,
1982,Spain,First group stage,Group Stage,1982-06-16,West Germany,Algeria,1.0,2.0,3.0,-1.0,Away Win,Algeria,,,,,"El Molinon, Gijon",42000,Enrique Labo Revoredo,Jupp Derwall,Rachid Mekhloufi,Karl-Heinz Rummenigge,Ali Fergani,
1982,Spain,First group stage,Group Stage,1982-06-16,Spain,Honduras,1.0,1.0,2.0,0.0,Draw,Draw,,,,,"Luis Casanova, Valencia",49562,Arturo Andres Ithurralde,Jose Santamaria,Jose De La Paz,Luis Arconada,Ramón Maradiaga,
1982,Spain,First group stage,Group Stage,1982-06-15,Peru,Cameroon,0.0,0.0,0.0,0.0,Draw,Draw,,,,,"Riazor, La Coruï¿½A",11000,Franz Woehrer,Tim,Jean Vincent,Rubén Toribio Díaz,Thomas N'Kono,
1982,Spain,First group stage,Group Stage,1982-06-15,Hungary,El Salvador,10.0,1.0,11.0,9.0,Home Win,Hungary,,,,,"Nuevo Estadio, Elche",23000,Ebrahim Al Doy,Kalman Meszoly,Mauricio Rodriguez,Tibor Nyilasi,Norberto Huezo,
1982,Spain,First group stage,Group Stage,1982-06-15,Scotland,New Zealand,5.0,2.0,7.0,3.0,Home Win,Scotland,,,,,"La Rosaleda, Malaga",36000,David Socha,Jock Stein,John Adshead,Danny McGrain,Steve Sumner,
1982,Spain,First group stage,Group Stage,1982-06-14,Italy,Poland,0.0,0.0,0.0,0.0,Draw,Draw,,,,,"Estadio Municipal de Balaï¿½dos, Vigo",33000,Michel Vautrot,Enzo Bearzot,Antoni Piechniczek,Dino Zoff,Władysław Żmuda,
1982,Spain,First group stage,Group Stage,1982-06-14,Brazil,Soviet Union,2.0,1.0,3.0,1.0,Home Win,Brazil,,,,,"Ramon Sanchez Pizjuan, Seville",68000,Augusto Lamo Castillo,Tele Santana,Konstantin Beskov,Sócrates,Aleksandre Chivadze,
1982,Spain,First group stage,Group Stage,1982-06-13,Argentina,Belgium,0.0,1.0,1.0,-1.0,Away Win,Belgium,,,,,"Camp Nou, Barcelona",95000,Vojtech Christov,Cesar Luis Menotti,Guy Thys,Daniel Passarella,Eric Gerets,
1978,Argentina,Final,Knockout,1978-06-25,Argentina,Netherlands,3.0,1.0,4.0,2.0,Home Win,Argentina,,,,,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",71483,Sergio Gonella,Cesar Luis Menotti,Ernst Happel,Daniel Passarella,Ruud Krol,Required Extra Time
1978,Argentina,Third-place match,Knockout,1978-06-24,Brazil,Italy,2.0,1.0,3.0,1.0,Home Win,Brazil,,,,,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",69659,Abraham Klein,Claudio Coutinho,Enzo Bearzot,Émerson Leão,Dino Zoff,
1978,Argentina,Second round,Knockout,1978-06-21,Netherlands,Italy,2.0,1.0,3.0,1.0,Home Win,Netherlands,,,,,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",67433,Angel Martinez,Ernst Happel,Enzo Bearzot,Ruud Krol,Dino Zoff,
1978,Argentina,Second round,Knockout,1978-06-21,Austria,West Germany,3.0,2.0,5.0,1.0,Home Win,Austria,,,,,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",38318,Abraham Klein,Helmut Senekowitsch,Helmut Schoen,Robert Sara,Berti Vogts,
1978,Argentina,Second round,Knockout,1978-06-21,Brazil,Poland,3.0,1.0,4.0,2.0,Home Win,Brazil,,,,,"San Martin, Mendoza",39586,Juan Silvagno Cavanna,Claudio Coutinho,Jacek Gmoch,Émerson Leão,Kazimierz Deyna,
1978,Argentina,Second round,Knockout,1978-06-21,Argentina,Peru,6.0,0.0,6.0,6.0,Home Win,Argentina,,,,,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",37315,Robert Wurtz,Cesar Luis Menotti,Marcos Calderon,Daniel Passarella,Héctor Chumpitaz,
1978,Argentina,Second round,Knockout,1978-06-18,Poland,Peru,1.0,0.0,1.0,1.0,Home Win,Poland,,,,,"San Martin, Mendoza",35288,Pat Partridge,Jacek Gmoch,Marcos Calderon,Kazimierz Deyna,Héctor Chumpitaz,
1978,Argentina,Second round,Knockout,1978-06-18,West Germany,Netherlands,2.0,2.0,4.0,0.0,Draw,Draw,,,,,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",40750,Ramon Barreto Ruiz,Helmut Schoen,Ernst Happel,Berti Vogts,Ruud Krol,
1978,Argentina,Second round,Knockout,1978-06-18,Italy,Austria,1.0,0.0,1.0,1.0,Home Win,Italy,,,,,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",66695,Francis Rion,Enzo Bearzot,Helmut Senekowitsch,Dino Zoff,Robert Sara,
1978,Argentina,Second round,Knockout,1978-06-18,Argentina,Brazil,0.0,0.0,0.0,0.0,Draw,Draw,,,,,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",37326,Karoly Palotai,Cesar Luis Menotti,Claudio Coutinho,Daniel Passarella,Émerson Leão,
1978,Argentina,Second round,Knockout,1978-06-14,Netherlands,Austria,5.0,1.0,6.0,4.0,Home Win,Netherlands,,,,,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",25050,John Gordon,Ernst Happel,Helmut Senekowitsch,Ruud Krol,Robert Sara,
1978,Argentina,Second round,Knockout,1978-06-14,West Germany,Italy,0.0,0.0,0.0,0.0,Draw,Draw,,,,,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",67547,Dusan Maksimovic,Helmut Schoen,Enzo Bearzot,Berti Vogts,Dino Zoff,
1978,Argentina,Second round,Knockout,1978-06-14,Brazil,Peru,3.0,0.0,3.0,3.0,Home Win,Brazil,,,,,"San Martin, Mendoza",31278,Nicolae Rainea,Claudio Coutinho,Marcos Calderon,Émerson Leão,Héctor Chumpitaz,
1978,Argentina,Second round,Knockout,1978-06-14,Argentina,Poland,2.0,0.0,2.0,2.0,Home Win,Argentina,,,,,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",37091,Ulf Eriksson,Cesar Luis Menotti,Jacek Gmoch,Daniel Passarella,Kazimierz Deyna,
1978,Argentina,First round,Knockout,1978-06-11,Brazil,Austria,1.0,0.0,1.0,1.0,Home Win,Brazil,,,,,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",35221,Robert Wurtz,Claudio Coutinho,Helmut Senekowitsch,Émerson Leão,Robert Sara,
