year,date,round,home_team,away_team,team,player,minute,minute_numeric,goal_type
2014,2014-06-13,Group stage,Spain,Netherlands,Netherlands,Stefan de Vrij,64,64,Normal
2014,2014-06-13,Group stage,Spain,Netherlands,Netherlands,Robin van Persie,72,72,Normal
2014,2014-06-13,Group stage,Spain,Netherlands,Netherlands,Arjen Robben,80,80,Normal
2014,2014-06-13,Group stage,Chile,Australia,Chile,Alexis Sánchez,12,12,Normal
2014,2014-06-13,Group stage,Chile,Australia,Chile,Jorge Valdivia,14,14,Normal
2014,2014-06-13,Group stage,Chile,Australia,Australia,Tim Cahill,35,35,Normal
2014,2014-06-13,Group stage,Chile,Australia,Chile,Jean Beausejour,90+2,92,Normal
2014,2014-06-14,Group stage,Colombia,Greece,Colombia,Pablo Armero,5,5,Normal
2014,2014-06-14,Group stage,Colombia,Greece,Colombia,Teófilo Gutiérrez,58,58,Normal
2014,2014-06-14,Group stage,Colombia,Greece,Colombia,James Rodríguez,90+3,93,Normal
2014,2014-06-14,Group stage,Uruguay,Costa Rica,Uruguay,Edinson Cavani,24,24,Penalty
2014,2014-06-14,Group stage,Uruguay,Costa Rica,Costa Rica,Joel Campbell,54,54,Normal
2014,2014-06-14,Group stage,Uruguay,Costa Rica,Costa Rica,Óscar Duarte,57,57,Normal
2014,2014-06-14,Group stage,Uruguay,Costa Rica,Costa Rica,Marco Ureña,84,84,Normal
2014,2014-06-14,Group stage,England,Italy,Italy,Claudio Marchisio,35,35,Normal
2014,2014-06-14,Group stage,England,Italy,England,Daniel Sturridge,37,37,Normal
2014,2014-06-14,Group stage,England,Italy,Italy,Mario Balotelli,50,50,Normal
2014,2014-06-14,Group stage,Ivory Coast,Japan,Japan,Keisuke Honda,16,16,Normal
2014,2014-06-14,Group stage,Ivory Coast,Japan,Ivory Coast,Wilfried Bony,64,64,Normal
2014,2014-06-14,Group stage,Ivory Coast,Japan,Ivory Coast,not applicable Gervinho,66,66,Normal
2014,2014-06-15,Group stage,Switzerland,Ecuador,Ecuador,Enner Valencia,22,22,Normal
2014,2014-06-15,Group stage,Switzerland,Ecuador,Switzerland,Admir Mehmedi,48,48,Normal
2014,2014-06-15,Group stage,Switzerland,Ecuador,Switzerland,Haris Seferovic,90+3,93,Normal
2014,2014-06-15,Group stage,France,Honduras,France,Karim Benzema,45,45,Penalty
2014,2014-06-15,Group stage,France,Honduras,France,Noel Valladares,48,48,Own Goal
2014,2014-06-15,Group stage,France,Honduras,France,Karim Benzema,72,72,Normal
2014,2014-06-15,Group stage,Argentina,Bosnia and Herzegovina,Argentina,Sead Kolašinac,3,3,Own Goal
2014,2014-06-15,Group stage,Argentina,Bosnia and Herzegovina,Argentina,Lionel Messi,65,65,Normal
2014,2014-06-15,Group stage,Argentina,Bosnia and Herzegovina,Bosnia and Herzegovina,Vedad Ibišević,85,85,Normal
2014,2014-06-16,Group stage,Germany,Portugal,Germany,Thomas Müller,12,12,Penalty
2014,2014-06-16,Group stage,Germany,Portugal,Germany,Mats Hummels,32,32,Normal
2014,2014-06-16,Group stage,Germany,Portugal,Germany,Thomas Müller,45+1,46,Normal
2014,2014-06-16,Group stage,Germany,Portugal,Germany,Thomas Müller,78,78,Normal
2014,2014-06-16,Group stage,Ghana,United States,United States,Clint Dempsey,1,1,Normal
2014,2014-06-16,Group stage,Ghana,United States,Ghana,André Ayew,82,82,Normal
2014,2014-06-16,Group stage,Ghana,United States,United States,John Brooks,86,86,Normal
2014,2014-06-17,Group stage,Belgium,Algeria,Algeria,Sofiane Feghouli,25,25,Penalty
2014,2014-06-17,Group stage,Belgium,Algeria,Belgium,Marouane Fellaini,70,70,Normal
2014,2014-06-17,Group stage,Belgium,Algeria,Belgium,Dries Mertens,80,80,Normal
2014,2014-06-17,Group stage,Russia,South Korea,South Korea,Keun-ho Lee,68,68,Normal
2014,2014-06-17,Group stage,Russia,South Korea,Russia,Aleksandr Kerzhakov,74,74,Normal
2014,2014-06-18,Group stage,Australia,Netherlands,Netherlands,Arjen Robben,20,20,Normal
2014,2014-06-18,Group stage,Australia,Netherlands,Australia,Tim Cahill,21,21,Normal
2014,2014-06-18,Group stage,Australia,Netherlands,Australia,Mile Jedinak,54,54,Penalty
2014,2014-06-18,Group stage,Australia,Netherlands,Netherlands,Robin van Persie,58,58,Normal
2014,2014-06-18,Group stage,Australia,Netherlands,Netherlands,Memphis Depay,68,68,Normal
2014,2014-06-18,Group stage,Spain,Chile,Chile,Eduardo Vargas,20,20,Normal
2014,2014-06-18,Group stage,Spain,Chile,Chile,Charles Aránguiz,43,43,Normal
2014,2014-06-18,Group stage,Cameroon,Croatia,Croatia,Ivica Olić,11,11,Normal
2014,2014-06-18,Group stage,Cameroon,Croatia,Croatia,Ivan Perišić,48,48,Normal
2014,2014-06-18,Group stage,Cameroon,Croatia,Croatia,Mario Mandžukić,61,61,Normal
2014,2014-06-18,Group stage,Cameroon,Croatia,Croatia,Mario Mandžukić,73,73,Normal
2014,2014-06-19,Group stage,Colombia,Ivory Coast,Colombia,James Rodríguez,64,64,Normal
2014,2014-06-19,Group stage,Colombia,Ivory Coast,Colombia,Juan Fernando Quintero,70,70,Normal
2014,2014-06-19,Group stage,Colombia,Ivory Coast,Ivory Coast,not applicable Gervinho,73,73,Normal
2014,2014-06-19,Group stage,Uruguay,England,Uruguay,Luis Suárez,39,39,Normal
2014,2014-06-19,Group stage,Uruguay,England,England,Wayne Rooney,75,75,Normal
2014,2014-06-19,Group stage,Uruguay,England,Uruguay,Luis Suárez,85,85,Normal
2014,2014-06-20,Group stage,Italy,Costa Rica,Costa Rica,Bryan Ruiz,44,44,Normal
2014,2014-06-20,Group stage,Switzerland,France,France,Olivier Giroud,17,17,Normal
2014,2014-06-20,Group stage,Switzerland,France,France,Blaise Matuidi,18,18,Normal
2014,2014-06-20,Group stage,Switzerland,France,France,Mathieu Valbuena,40,40,Normal
2014,2014-06-20,Group stage,Switzerland,France,France,Karim Benzema,67,67,Normal
2014,2014-06-20,Group stage,Switzerland,France,France,Moussa Sissoko,73,73,Normal
2014,2014-06-20,Group stage,Switzerland,France,Switzerland,Blerim Džemaili,81,81,Normal
2014,2014-06-20,Group stage,Switzerland,France,Switzerland,Granit Xhaka,87,87,Normal
2014,2014-06-20,Group stage,Honduras,Ecuador,Honduras,Carlo Costly,31,31,Normal
2014,2014-06-20,Group stage,Honduras,Ecuador,Ecuador,Enner Valencia,34,34,Normal
2014,2014-06-20,Group stage,Honduras,Ecuador,Ecuador,Enner Valencia,65,65,Normal
2014,2014-06-21,Group stage,Argentina,Iran,Argentina,Lionel Messi,90+1,91,Normal
2014,2014-06-21,Group stage,Germany,Ghana,Germany,Mario Götze,51,51,Normal
2014,2014-06-21,Group stage,Germany,Ghana,Ghana,André Ayew,54,54,Normal
2014,2014-06-21,Group stage,Germany,Ghana,Ghana,Asamoah Gyan,63,63,Normal
2014,2014-06-21,Group stage,Germany,Ghana,Germany,Miroslav Klose,71,71,Normal
2014,2014-06-21,Group stage,Nigeria,Bosnia and Herzegovina,Nigeria,Peter Odemwingie,29,29,Normal
2014,2014-06-22,Group stage,Belgium,Russia,Belgium,Divock Origi,88,88,Normal
2014,2014-06-22,Group stage,South Korea,Algeria,Algeria,Islam Slimani,26,26,Normal
2014,2014-06-22,Group stage,South Korea,Algeria,Algeria,Rafik Halliche,28,28,Normal
2014,2014-06-22,Group stage,South Korea,Algeria,Algeria,Abdelmoumene Djabou,38,38,Normal
2014,2014-06-22,Group stage,South Korea,Algeria,South Korea,Heung-min Son,50,50,Normal
2014,2014-06-22,Group stage,South Korea,Algeria,Algeria,Yacine Brahimi,62,62,Normal
2014,2014-06-22,Group stage,South Korea,Algeria,South Korea,Ja-cheol Koo,72,72,Normal
2014,2014-06-22,Group stage,United States,Portugal,Portugal,not applicable Nani,5,5,Normal
2014,2014-06-22,Group stage,United States,Portugal,United States,Jermaine Jones,64,64,Normal
2014,2014-06-22,Group stage,United States,Portugal,United States,Clint Dempsey,81,81,Normal
2014,2014-06-22,Group stage,United States,Portugal,Portugal,Silvestre Varela,90+5,95,Normal
2014,2014-06-23,Group stage,Australia,Spain,Spain,David Villa,36,36,Normal
2014,2014-06-23,Group stage,Australia,Spain,Spain,Fernando Torres,69,69,Normal
2014,2014-06-23,Group stage,Australia,Spain,Spain,Juan Mata,82,82,Normal
2014,2014-06-23,Group stage,Netherlands,Chile,Netherlands,Leroy Fer,77,77,Normal
2014,2014-06-23,Group stage,Netherlands,Chile,Netherlands,Memphis Depay,90+2,92,Normal
2014,2014-06-23,Group stage,Cameroon,Brazil,Brazil,not applicable Neymar,17,17,Normal
2014,2014-06-23,Group stage,Cameroon,Brazil,Cameroon,Joël Matip,26,26,Normal
2014,2014-06-23,Group stage,Cameroon,Brazil,Brazil,not applicable Neymar,35,35,Normal
2014,2014-06-23,Group stage,Cameroon,Brazil,Brazil,not applicable Fred,49,49,Normal
2014,2014-06-23,Group stage,Cameroon,Brazil,Brazil,not applicable Fernandinho,84,84,Normal
2014,2014-06-23,Group stage,Croatia,Mexico,Mexico,Rafael Márquez,72,72,Normal
2014,2014-06-23,Group stage,Croatia,Mexico,Mexico,Andrés Guardado,75,75,Normal
2014,2014-06-23,Group stage,Croatia,Mexico,Mexico,Javier Hernández,82,82,Normal
2014,2014-06-23,Group stage,Croatia,Mexico,Croatia,Ivan Perišić,87,87,Normal
2014,2014-06-24,Group stage,Italy,Uruguay,Uruguay,Diego Godín,81,81,Normal
2014,2014-06-24,Group stage,Japan,Colombia,Colombia,Juan Cuadrado,17,17,Penalty
2014,2014-06-24,Group stage,Japan,Colombia,Japan,Shinji Okazaki,45+1,46,Normal
2014,2014-06-24,Group stage,Japan,Colombia,Colombia,Jackson Martínez,55,55,Normal
2014,2014-06-24,Group stage,Japan,Colombia,Colombia,Jackson Martínez,82,82,Normal
2014,2014-06-24,Group stage,Japan,Colombia,Colombia,James Rodríguez,90,90,Normal
2014,2014-06-24,Group stage,Greece,Ivory Coast,Greece,Andreas Samaris,42,42,Normal
2014,2014-06-24,Group stage,Greece,Ivory Coast,Ivory Coast,Wilfried Bony,74,74,Normal
2014,2014-06-24,Group stage,Greece,Ivory Coast,Greece,Georgios Samaras,90+3,93,Penalty
2014,2014-06-25,Group stage,Bosnia and Herzegovina,Iran,Bosnia and Herzegovina,Edin Džeko,23,23,Normal
2014,2014-06-25,Group stage,Bosnia and Herzegovina,Iran,Bosnia and Herzegovina,Miralem Pjanić,59,59,Normal
2014,2014-06-25,Group stage,Bosnia and Herzegovina,Iran,Iran,Reza Ghoochannejhad,82,82,Normal
2014,2014-06-25,Group stage,Bosnia and Herzegovina,Iran,Bosnia and Herzegovina,Avdija Vršajević,83,83,Normal
2014,2014-06-25,Group stage,Nigeria,Argentina,Argentina,Lionel Messi,3,3,Normal
2014,2014-06-25,Group stage,Nigeria,Argentina,Nigeria,Ahmed Musa,4,4,Normal
2014,2014-06-25,Group stage,Nigeria,Argentina,Argentina,Lionel Messi,45+1,46,Normal
2014,2014-06-25,Group stage,Nigeria,Argentina,Nigeria,Ahmed Musa,47,47,Normal
2014,2014-06-25,Group stage,Nigeria,Argentina,Argentina,Marcos Rojo,50,50,Normal
2014,2014-06-25,Group stage,Honduras,Switzerland,Switzerland,Xherdan Shaqiri,6,6,Normal
2014,2014-06-25,Group stage,Honduras,Switzerland,Switzerland,Xherdan Shaqiri,31,31,Normal
2014,2014-06-25,Group stage,Honduras,Switzerland,Switzerland,Xherdan Shaqiri,71,71,Normal
2014,2014-06-26,Group stage,Portugal,Ghana,Portugal,John Boye,31,31,Own Goal
2014,2014-06-26,Group stage,Portugal,Ghana,Ghana,Asamoah Gyan,57,57,Normal
2014,2014-06-26,Group stage,Portugal,Ghana,Portugal,Cristiano Ronaldo,80,80,Normal
2014,2014-06-26,Group stage,United States,Germany,Germany,Thomas Müller,55,55,Normal
2014,2014-06-26,Group stage,Algeria,Russia,Russia,Aleksandr Kokorin,6,6,Normal
2014,2014-06-26,Group stage,Algeria,Russia,Algeria,Islam Slimani,60,60,Normal
2014,2014-06-26,Group stage,South Korea,Belgium,Belgium,Jan Vertonghen,78,78,Normal
2014,2014-06-28,Round of 16,Brazil,Chile,Brazil,David Luiz,18,18,Normal
2014,2014-06-28,Round of 16,Brazil,Chile,Chile,Alexis Sánchez,32,32,Normal
2014,2014-06-28,Round of 16,Colombia,Uruguay,Colombia,James Rodríguez,28,28,Normal
2014,2014-06-28,Round of 16,Colombia,Uruguay,Colombia,James Rodríguez,50,50,Normal
2014,2014-06-29,Round of 16,Netherlands,Mexico,Mexico,Giovani dos Santos,48,48,Normal
2014,2014-06-29,Round of 16,Netherlands,Mexico,Netherlands,Wesley Sneijder,88,88,Normal
2014,2014-06-29,Round of 16,Netherlands,Mexico,Netherlands,Klaas-Jan Huntelaar,90+4,94,Penalty
2014,2014-06-29,Round of 16,Costa Rica,Greece,Costa Rica,Bryan Ruiz,52,52,Normal
2014,2014-06-29,Round of 16,Costa Rica,Greece,Greece,Sokratis Papastathopoulos,90+1,91,Normal
2014,2014-06-30,Round of 16,France,Nigeria,France,Paul Pogba,79,79,Normal
2014,2014-06-30,Round of 16,France,Nigeria,France,Joseph Yobo,90+2,92,Own Goal
2014,2014-06-30,Round of 16,Germany,Algeria,Germany,André Schürrle,92,92,Normal
2014,2014-06-30,Round of 16,Germany,Algeria,Germany,Mesut Özil,120,120,Normal
2014,2014-06-30,Round of 16,Germany,Algeria,Algeria,Abdelmoumene Djabou,120+1,121,Normal
2014,2014-07-01,Round of 16,Argentina,Switzerland,Argentina,Ángel Di María,118,118,Normal
2014,2014-07-01,Round of 16,Belgium,United States,Belgium,Kevin De Bruyne,93,93,Normal
2014,2014-07-01,Round of 16,Belgium,United States,Belgium,Romelu Lukaku,105,105,Normal
2014,2014-07-01,Round of 16,Belgium,United States,United States,Julian Green,107,107,Normal
2014,2014-07-04,Quarter-finals,France,Germany,Germany,Mats Hummels,13,13,Normal
2014,2014-07-04,Quarter-finals,Brazil,Colombia,Brazil,Thiago Silva,7,7,Normal
2014,2014-07-04,Quarter-finals,Brazil,Colombia,Brazil,David Luiz,69,69,Normal
2014,2014-07-04,Quarter-finals,Brazil,Colombia,Colombia,James Rodríguez,80,80,Penalty
2014,2014-07-05,Quarter-finals,Argentina,Belgium,Argentina,Gonzalo Higuaín,8,8,Normal
2014,2014-07-08,Semi-finals,Brazil,Germany,Germany,Thomas Müller,11,11,Normal
2014,2014-07-08,Semi-finals,Brazil,Germany,Germany,Miroslav Klose,23,23,Normal
2014,2014-07-08,Semi-finals,Brazil,Germany,Germany,Toni Kroos,24,24,Normal
2014,2014-07-08,Semi-finals,Brazil,Germany,Germany,Toni Kroos,26,26,Normal
2014,2014-07-08,Semi-finals,Brazil,Germany,Germany,Sami Khedira,29,29,Normal
2014,2014-07-08,Semi-finals,Brazil,Germany,Germany,André Schürrle,69,69,Normal
2014,2014-07-08,Semi-finals,Brazil,Germany,Germany,André Schürrle,79,79,Normal
2014,2014-07-08,Semi-finals,Brazil,Germany,Brazil,not applicable Oscar,90,90,Normal
2014,2014-07-12,Third-place match,Brazil,Netherlands,Netherlands,Robin van Persie,3,3,Penalty
2014,2014-07-12,Third-place match,Brazil,Netherlands,Netherlands,Daley Blind,17,17,Normal
2014,2014-07-12,Third-place match,Brazil,Netherlands,Netherlands,Georginio Wijnaldum,90+1,91,Normal
2014,2014-07-13,Final,Germany,Argentina,Germany,Mario Götze,113,113,Normal
2010,2010-06-11,Group stage,South Africa,Mexico,South Africa,Siphiwe Tshabalala,55,55,Normal
2010,2010-06-11,Group stage,South Africa,Mexico,Mexico,Rafael Márquez,79,79,Normal
2010,2010-06-12,Group stage,South Korea,Greece,South Korea,Jung-soo Lee,7,7,Normal
2010,2010-06-12,Group stage,South Korea,Greece,South Korea,Ji-sung Park,52,52,Normal
2010,2010-06-12,Group stage,Argentina,Nigeria,Argentina,Gabriel Heinze,6,6,Normal
2010,2010-06-12,Group stage,England,United States,England,Steven Gerrard,4,4,Normal
2010,2010-06-12,Group stage,England,United States,United States,Clint Dempsey,40,40,Normal
2010,2010-06-13,Group stage,Algeria,Slovenia,Slovenia,Robert Koren,79,79,Normal
2010,2010-06-13,Group stage,Serbia,Ghana,Ghana,Asamoah Gyan,85,85,Penalty
2010,2010-06-13,Group stage,Germany,Australia,Germany,Lukas Podolski,8,8,Normal
2010,2010-06-13,Group stage,Germany,Australia,Germany,Miroslav Klose,26,26,Normal
2010,2010-06-13,Group stage,Germany,Australia,Germany,Thomas Müller,68,68,Normal
2010,2010-06-13,Group stage,Germany,Australia,Germany,not applicable Cacau,70,70,Normal
2010,2010-06-14,Group stage,Netherlands,Denmark,Netherlands,Daniel Agger,46,46,Own Goal
2010,2010-06-14,Group stage,Netherlands,Denmark,Netherlands,Dirk Kuyt,85,85,Normal
2010,2010-06-14,Group stage,Japan,Cameroon,Japan,Keisuke Honda,39,39,Normal
2010,2010-06-14,Group stage,Italy,Paraguay,Paraguay,Antolín Alcaraz,39,39,Normal
2010,2010-06-14,Group stage,Italy,Paraguay,Italy,Daniele De Rossi,63,63,Normal
2010,2010-06-15,Group stage,New Zealand,Slovakia,Slovakia,Róbert Vittek,50,50,Normal
2010,2010-06-15,Group stage,New Zealand,Slovakia,New Zealand,Winston Reid,90+3,93,Normal
2010,2010-06-15,Group stage,Brazil,North Korea,Brazil,not applicable Maicon,55,55,Normal
2010,2010-06-15,Group stage,Brazil,North Korea,Brazil,not applicable Elano,72,72,Normal
2010,2010-06-15,Group stage,Brazil,North Korea,North Korea,Yun-nam Ji,89,89,Normal
2010,2010-06-16,Group stage,Honduras,Chile,Chile,Jean Beausejour,34,34,Normal
2010,2010-06-16,Group stage,Spain,Switzerland,Switzerland,Gélson Fernandes,52,52,Normal
2010,2010-06-16,Group stage,South Africa,Uruguay,Uruguay,Diego Forlán,24,24,Normal
2010,2010-06-16,Group stage,South Africa,Uruguay,Uruguay,Diego Forlán,80,80,Penalty
2010,2010-06-16,Group stage,South Africa,Uruguay,Uruguay,Álvaro Pereira,90+5,95,Normal
2010,2010-06-17,Group stage,Argentina,South Korea,Argentina,Chu-young Park,17,17,Own Goal
2010,2010-06-17,Group stage,Argentina,South Korea,Argentina,Gonzalo Higuaín,33,33,Normal
2010,2010-06-17,Group stage,Argentina,South Korea,South Korea,Chung-yong Lee,45+1,46,Normal
2010,2010-06-17,Group stage,Argentina,South Korea,Argentina,Gonzalo Higuaín,76,76,Normal
2010,2010-06-17,Group stage,Argentina,South Korea,Argentina,Gonzalo Higuaín,80,80,Normal
2010,2010-06-17,Group stage,Greece,Nigeria,Nigeria,Kalu Uche,16,16,Normal
2010,2010-06-17,Group stage,Greece,Nigeria,Greece,Dimitris Salpingidis,44,44,Normal
2010,2010-06-17,Group stage,Greece,Nigeria,Greece,Vasilis Torosidis,71,71,Normal
2010,2010-06-17,Group stage,France,Mexico,Mexico,Javier Hernández,64,64,Normal
2010,2010-06-17,Group stage,France,Mexico,Mexico,Cuauhtémoc Blanco,79,79,Penalty
2010,2010-06-18,Group stage,Germany,Serbia,Serbia,Milan Jovanović,38,38,Normal
2010,2010-06-18,Group stage,Slovenia,United States,Slovenia,Valter Birsa,13,13,Normal
2010,2010-06-18,Group stage,Slovenia,United States,Slovenia,Zlatan Ljubijankić,42,42,Normal
2010,2010-06-18,Group stage,Slovenia,United States,United States,Landon Donovan,48,48,Normal
2010,2010-06-18,Group stage,Slovenia,United States,United States,Michael Bradley,82,82,Normal
2010,2010-06-19,Group stage,Netherlands,Japan,Netherlands,Wesley Sneijder,53,53,Normal
2010,2010-06-19,Group stage,Ghana,Australia,Australia,Brett Holman,11,11,Normal
2010,2010-06-19,Group stage,Ghana,Australia,Ghana,Asamoah Gyan,25,25,Penalty
2010,2010-06-19,Group stage,Cameroon,Denmark,Cameroon,Samuel Eto'o,10,10,Normal
2010,2010-06-19,Group stage,Cameroon,Denmark,Denmark,Nicklas Bendtner,33,33,Normal
2010,2010-06-19,Group stage,Cameroon,Denmark,Denmark,Dennis Rommedahl,61,61,Normal
2010,2010-06-20,Group stage,Slovakia,Paraguay,Paraguay,Enrique Vera,27,27,Normal
2010,2010-06-20,Group stage,Slovakia,Paraguay,Paraguay,Cristian Riveros,86,86,Normal
2010,2010-06-20,Group stage,Italy,New Zealand,New Zealand,Shane Smeltz,7,7,Normal
2010,2010-06-20,Group stage,Italy,New Zealand,Italy,Vincenzo Iaquinta,29,29,Penalty
2010,2010-06-20,Group stage,Brazil,Ivory Coast,Brazil,Luís Fabiano,25,25,Normal
2010,2010-06-20,Group stage,Brazil,Ivory Coast,Brazil,Luís Fabiano,50,50,Normal
2010,2010-06-20,Group stage,Brazil,Ivory Coast,Brazil,not applicable Elano,62,62,Normal
2010,2010-06-20,Group stage,Brazil,Ivory Coast,Ivory Coast,Didier Drogba,79,79,Normal
2010,2010-06-21,Group stage,Portugal,North Korea,Portugal,Raul Meireles,29,29,Normal
2010,2010-06-21,Group stage,Portugal,North Korea,Portugal,not applicable Simão,53,53,Normal
2010,2010-06-21,Group stage,Portugal,North Korea,Portugal,Hugo Almeida,56,56,Normal
2010,2010-06-21,Group stage,Portugal,North Korea,Portugal,not applicable Tiago,60,60,Normal
2010,2010-06-21,Group stage,Portugal,North Korea,Portugal,not applicable Liédson,81,81,Normal
2010,2010-06-21,Group stage,Portugal,North Korea,Portugal,Cristiano Ronaldo,87,87,Normal
2010,2010-06-21,Group stage,Portugal,North Korea,Portugal,not applicable Tiago,89,89,Normal
2010,2010-06-21,Group stage,Chile,Switzerland,Chile,Mark González,75,75,Normal
2010,2010-06-21,Group stage,Spain,Honduras,Spain,David Villa,17,17,Normal
2010,2010-06-21,Group stage,Spain,Honduras,Spain,David Villa,51,51,Normal
2010,2010-06-22,Group stage,France,South Africa,South Africa,Bongani Khumalo,20,20,Normal
2010,2010-06-22,Group stage,France,South Africa,South Africa,Katlego Mphela,37,37,Normal
2010,2010-06-22,Group stage,France,South Africa,France,Florent Malouda,70,70,Normal
2010,2010-06-22,Group stage,Mexico,Uruguay,Uruguay,Luis Suárez,43,43,Normal
2010,2010-06-22,Group stage,Greece,Argentina,Argentina,Martín Demichelis,77,77,Normal
2010,2010-06-22,Group stage,Greece,Argentina,Argentina,Martín Palermo,89,89,Normal
2010,2010-06-22,Group stage,Nigeria,South Korea,Nigeria,Kalu Uche,12,12,Normal
2010,2010-06-22,Group stage,Nigeria,South Korea,South Korea,Jung-soo Lee,38,38,Normal
2010,2010-06-22,Group stage,Nigeria,South Korea,South Korea,Chu-young Park,49,49,Normal
2010,2010-06-22,Group stage,Nigeria,South Korea,Nigeria,not applicable Yakubu,69,69,Penalty
2010,2010-06-23,Group stage,Slovenia,England,England,Jermain Defoe,23,23,Normal
2010,2010-06-23,Group stage,United States,Algeria,United States,Landon Donovan,90+1,91,Normal
2010,2010-06-23,Group stage,Australia,Serbia,Australia,Tim Cahill,69,69,Normal
2010,2010-06-23,Group stage,Australia,Serbia,Australia,Brett Holman,73,73,Normal
2010,2010-06-23,Group stage,Australia,Serbia,Serbia,Marko Pantelić,84,84,Normal
2010,2010-06-23,Group stage,Ghana,Germany,Germany,Mesut Özil,60,60,Normal
2010,2010-06-24,Group stage,Slovakia,Italy,Slovakia,Róbert Vittek,25,25,Normal
2010,2010-06-24,Group stage,Slovakia,Italy,Slovakia,Róbert Vittek,73,73,Normal
2010,2010-06-24,Group stage,Slovakia,Italy,Italy,Antonio Di Natale,81,81,Normal
2010,2010-06-24,Group stage,Slovakia,Italy,Slovakia,Kamil Kopúnek,89,89,Normal
2010,2010-06-24,Group stage,Slovakia,Italy,Italy,Fabio Quagliarella,90+2,92,Normal
2010,2010-06-24,Group stage,Cameroon,Netherlands,Netherlands,Robin van Persie,36,36,Normal
2010,2010-06-24,Group stage,Cameroon,Netherlands,Cameroon,Samuel Eto'o,65,65,Penalty
2010,2010-06-24,Group stage,Cameroon,Netherlands,Netherlands,Klaas-Jan Huntelaar,83,83,Normal
2010,2010-06-24,Group stage,Denmark,Japan,Japan,Keisuke Honda,17,17,Normal
2010,2010-06-24,Group stage,Denmark,Japan,Japan,Yasuhito Endō,30,30,Normal
2010,2010-06-24,Group stage,Denmark,Japan,Denmark,Jon Dahl Tomasson,81,81,Normal
2010,2010-06-24,Group stage,Denmark,Japan,Japan,Shinji Okazaki,87,87,Normal
2010,2010-06-25,Group stage,North Korea,Ivory Coast,Ivory Coast,Yaya Touré,14,14,Normal
2010,2010-06-25,Group stage,North Korea,Ivory Coast,Ivory Coast,not applicable Romaric,20,20,Normal
2010,2010-06-25,Group stage,North Korea,Ivory Coast,Ivory Coast,Salomon Kalou,82,82,Normal
2010,2010-06-25,Group stage,Chile,Spain,Spain,David Villa,24,24,Normal
2010,2010-06-25,Group stage,Chile,Spain,Spain,Andrés Iniesta,37,37,Normal
2010,2010-06-25,Group stage,Chile,Spain,Chile,Rodrigo Millar,47,47,Normal
2010,2010-06-26,Round of 16,Uruguay,South Korea,Uruguay,Luis Suárez,8,8,Normal
2010,2010-06-26,Round of 16,Uruguay,South Korea,South Korea,Chung-yong Lee,68,68,Normal
2010,2010-06-26,Round of 16,Uruguay,South Korea,Uruguay,Luis Suárez,80,80,Normal
2010,2010-06-26,Round of 16,United States,Ghana,Ghana,Kevin-Prince Boateng,5,5,Normal
2010,2010-06-26,Round of 16,United States,Ghana,United States,Landon Donovan,62,62,Penalty
2010,2010-06-26,Round of 16,United States,Ghana,Ghana,Asamoah Gyan,93,93,Normal
2010,2010-06-27,Round of 16,Germany,England,Germany,Miroslav Klose,20,20,Normal
2010,2010-06-27,Round of 16,Germany,England,Germany,Lukas Podolski,32,32,Normal
2010,2010-06-27,Round of 16,Germany,England,England,Matthew Upson,37,37,Normal
2010,2010-06-27,Round of 16,Germany,England,Germany,Thomas Müller,67,67,Normal
2010,2010-06-27,Round of 16,Germany,England,Germany,Thomas Müller,70,70,Normal
2010,2010-06-27,Round of 16,Argentina,Mexico,Argentina,Carlos Tevez,26,26,Normal
2010,2010-06-27,Round of 16,Argentina,Mexico,Argentina,Gonzalo Higuaín,33,33,Normal
2010,2010-06-27,Round of 16,Argentina,Mexico,Argentina,Carlos Tevez,52,52,Normal
2010,2010-06-27,Round of 16,Argentina,Mexico,Mexico,Javier Hernández,71,71,Normal
2010,2010-06-28,Round of 16,Netherlands,Slovakia,Netherlands,Arjen Robben,18,18,Normal
2010,2010-06-28,Round of 16,Netherlands,Slovakia,Netherlands,Wesley Sneijder,84,84,Normal
2010,2010-06-28,Round of 16,Netherlands,Slovakia,Slovakia,Róbert Vittek,90+4,94,Penalty
2010,2010-06-28,Round of 16,Brazil,Chile,Brazil,not applicable Juan,35,35,Normal
2010,2010-06-28,Round of 16,Brazil,Chile,Brazil,Luís Fabiano,38,38,Normal
2010,2010-06-28,Round of 16,Brazil,Chile,Brazil,not applicable Robinho,59,59,Normal
2010,2010-06-29,Round of 16,Spain,Portugal,Spain,David Villa,63,63,Normal
2010,2010-07-02,Quarter-finals,Netherlands,Brazil,Brazil,not applicable Robinho,10,10,Normal
2010,2010-07-02,Quarter-finals,Netherlands,Brazil,Netherlands,Wesley Sneijder,53,53,Normal
2010,2010-07-02,Quarter-finals,Netherlands,Brazil,Netherlands,Wesley Sneijder,68,68,Normal
2010,2010-07-02,Quarter-finals,Uruguay,Ghana,Ghana,Sulley Muntari,45+2,47,Normal
2010,2010-07-02,Quarter-finals,Uruguay,Ghana,Uruguay,Diego Forlán,55,55,Normal
2010,2010-07-03,Quarter-finals,Argentina,Germany,Germany,Thomas Müller,3,3,Normal
2010,2010-07-03,Quarter-finals,Argentina,Germany,Germany,Miroslav Klose,68,68,Normal
