column,dtype,missing,unique
edition,int64,0,23
year,int64,0,23
host,object,0,19
champion,object,0,9
runner_up,object,0,11
third_place,object,0,16
fourth_place,object,0,17
teams,int64,0,6
matches,int64,0,10
goals,int64,0,20
goals_per_match,float64,0,21
attendance,int64,0,23
top_scorer,object,0,22
top_scorer_country,object,0,15
top_scorer_goals,int64,0,9
start_date,object,0,18
end_date,object,0,20
final_city,object,0,19
host_won,object,0,2
format,object,0,3
avg_attendance,int64,0,23
