year,date,round,home_team,away_team,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_second_yellow_reds,away_second_yellow_reds,data_available,total_yellow_cards,total_red_cards
1994,1994-06-25,Group stage,Belgium,Netherlands,1,5,0,0,0.0,0.0,True,6,0
1994,1994-06-25,Group stage,Saudi Arabia,Morocco,4,2,0,0,0.0,0.0,True,6,0
1994,1994-06-25,Group stage,Argentina,Nigeria,1,2,0,0,0.0,0.0,True,3,0
1994,1994-06-24,Group stage,Mexico,Republic of Ireland,2,2,0,0,0.0,0.0,True,4,0
1994,1994-06-24,Group stage,Brazil,Cameroon,1,2,0,1,0.0,0.0,True,3,1
1994,1994-06-24,Group stage,Sweden,Russia,3,2,0,0,0.0,1.0,True,5,0
1994,1994-06-23,Group stage,Italy,Norway,1,2,1,0,0.0,0.0,True,3,1
1994,1994-06-23,Group stage,Korea Republic,Bolivia,3,3,0,0,0.0,1.0,True,6,0
1994,1994-06-22,Group stage,Romania,Switzerland,3,0,1,0,0.0,0.0,True,3,1
1994,1994-06-22,Group stage,United States,Colombia,1,1,0,0,0.0,0.0,True,2,0
1994,1994-06-21,Group stage,Argentina,Greece,1,2,0,0,0.0,0.0,True,3,0
1994,1994-06-21,Group stage,Germany,Spain,1,3,0,0,0.0,0.0,True,4,0
1994,1994-06-21,Group stage,Nigeria,Bulgaria,1,1,0,0,0.0,0.0,True,2,0
1994,1994-06-20,Group stage,Brazil,Russia,0,3,0,0,0.0,0.0,True,3,0
1994,1994-06-20,Group stage,Netherlands,Saudi Arabia,2,3,0,0,0.0,0.0,True,5,0
1994,1994-06-19,Group stage,Belgium,Morocco,2,3,0,0,0.0,0.0,True,5,0
1994,1994-06-19,Group stage,Norway,Mexico,2,1,0,0,0.0,0.0,True,3,0
1994,1994-06-19,Group stage,Cameroon,Sweden,1,1,0,0,0.0,0.0,True,2,0
1994,1994-06-18,Group stage,United States,Switzerland,1,2,0,0,0.0,0.0,True,3,0
1994,1994-06-18,Group stage,Italy,Republic of Ireland,0,3,0,0,0.0,0.0,True,3,0
1994,1994-06-18,Group stage,Colombia,Romania,3,1,0,0,0.0,0.0,True,4,0
1994,1994-06-17,Group stage,Germany,Bolivia,2,4,0,1,0.0,0.0,True,6,1
1994,1994-06-17,Group stage,Spain,Korea Republic,2,2,1,0,0.0,0.0,True,4,1
1990,1990-07-08,Final,West Germany,Argentina,1,3,0,1,0.0,0.0,True,4,1
1990,1990-07-07,Third-place match,Italy,England,0,0,0,0,0.0,0.0,False,0,0
1990,1990-07-04,Semi-finals,West Germany,England,1,2,0,0,0.0,0.0,True,3,0
1990,1990-07-03,Semi-finals,Italy,Argentina,1,5,0,0,0.0,1.0,True,6,0
1990,1990-07-01,Quarter-finals,West Germany,Czechoslovakia,1,4,0,1,0.0,0.0,True,5,1
1990,1990-07-01,Quarter-finals,England,Cameroon,1,3,0,0,0.0,0.0,True,4,0
